korean,vietnamese,reading,topic_id,level,example,example_vi
가게,Cửa hàng,gage,shopping,basic,,
가까이,Gần,gakkai,location,basic,,
가끔,Thỉnh thoảng,gakkeum,time,basic,,
가능하다,Có khả năng,ganeunghada,action,basic,,
가다,Đi,gada,action,basic,,
가르치다,"Dạy học, chỉ bảo",gareuchida,action,basic,,
가방,"Túi sách, cặp sách",gabang,shopping,basic,,
가볍다,Nhẹ,gabyeopda,adjective,basic,,
가습기,Dụng cụ tạo hơi ẩm,gaseupgi,housing,basic,,
가위,Cái kéo,gawi,housing,basic,,
가을,Mùa thu,gaeul,time,basic,,
가져가다,"Đem đi, mang đi",gajyeogada,action,basic,,
가족,Gia đình,gajok,family,basic,,
가축,Gia súc,gachuk,family,basic,,
간호사,Y tá,ganhosa,hospital,basic,,
갈아타다,Đổi tàu xe,garatada,transport,basic,,
감기에걸리다,Bị cảm cúm,gamgiegeolrida,hospital,basic,,
갑자기,"Đột ngột, bất thình lình",gapjagi,action,basic,,
강변,Bờ sông,gangbyeon,location,basic,,
강아지,Cún con,gangaji,family,basic,,
강하다,Mạnh,ganghada,adjective,basic,,
거름,Phân bón,georeum,action,basic,,
거울,Cái gương,geoul,housing,basic,,
걱정,Lo lắng,geokjeong,emotion,basic,,
건강보험증,Thẻ bảo hiểm sức khoẻ,geongangboheomjeung,hospital,basic,,
건강하다,Khoẻ mạnh,geonganghada,hospital,basic,,
건너다,Băng qua,geonneoda,action,basic,,
건물,Toà nhà,geonmul,housing,basic,,
걸다,Gọi điện,geolda,action,basic,,
걸레,Giẻ lau,geolre,housing,basic,,
게임,"Game, trò chơi",geim,action,basic,,
겨울,Mùa đông,gyeoul,time,basic,,
견인지역,Khu vực cấm đỗ xe (sẽ bị kéo đi),gyeoninjiyeok,transport,basic,,
경운기,Máy cày,gyeongungi,action,basic,,
경제적이다,Có tính kinh tế,gyeongjejeogida,adjective,basic,,
경치,Phong cảnh,gyeongchi,location,basic,,
계단,Cầu thang,gyedan,housing,basic,,
계란,Quả trứng,gyeran,food,basic,,
계산기,Máy tính,gyesangi,action,basic,,
계산대,Quầy thanh toán,gyesandae,shopping,basic,,
계시다,Có (kính ngữ),gyesida,greeting,basic,,
계절,Mùa,gyejeol,time,basic,,
고구마,Khoai lang,goguma,food,basic,,
고르다,Lựa chọn,goreuda,action,basic,,
고무장화,Ủng cao su,gomujanghwa,action,basic,,
고속버스,Xe buýt tốc hành,gosokbeoseu,transport,basic,,
고장이나다,Hỏng hóc,gojanginada,action,basic,,
고치다,Sửa chữa,gochida,action,basic,,
고향,Quê hương,gohyang,location,basic,,
곡괭이,Cuốc chim,gokgwaengi,action,basic,,
곡식,Ngũ cốc,goksik,food,basic,,
고모,Cô (em/chị gái của bố),gomo,family,basic,,
공구,Công cụ,gonggu,action,basic,,
공기,Bát (đơn vị đếm),gonggi,number,basic,,
공부하다,Học,gongbuhada,action,basic,,
공사를하다,"Xây dựng, thi công",gongsareulhada,action,basic,,
공원,Công viên,gongwon,location,basic,,
공장,Công xưởng,gongjang,workplace,basic,,
공책,Quyển vở,gongchaek,action,basic,,
공항,Sân bay,gonghang,location,basic,,
과속하다,Chạy quá tốc độ,gwasokhada,transport,basic,,
과식하다,Ăn quá nhiều,gwasikhada,food,basic,,
과일,Trái cây,gwail,food,basic,,
과자,"Bánh, mứt, kẹo",gwaja,food,basic,,
과적,Chở quá tải,gwajeok,transport,basic,,
관계자의출입금지,Người không nhiệm vụ cấm vào,gwangyejauichuripgeumji,safety,basic,,
관리자,Người quản lý,gwanrija,workplace,basic,,
교사,Giáo viên,gyosa,workplace,basic,,
교실,Lớp học,gyosil,location,basic,,
교육,Giáo dục,gyoyuk,action,basic,,
교통질서,Trật tự giao thông,gyotongjilseo,transport,basic,,
교통차단,Gián đoạn giao thông,gyotongchadan,transport,basic,,
교통사고,Tai nạn giao thông,gyotongsago,transport,basic,,
교통카드,Thẻ giao thông,gyotongkadeu,transport,basic,,
교환하다,Đổi lại,gyohwanhada,action,basic,,
구경하다,Tham quan,gugyeonghada,action,basic,,
구두굽,Gót giày,gudugup,action,basic,,
