Tiếng Hàn,Hán tự,Nghĩa tiếng Việt
"가결","可決","Thông qua, Biểu quyết"
"가격","價格","Giá cả"
"가관","可觀","Đáng xem"
"가담","加擔","Tham gia, Dính líu"
"가동","稼動","Vận hành"
"가량","假量","Khoảng, Chừng"
"가령","假令","Giả sử, Ví dụ"
"가로","街路","Đường phố"
"가맹","加盟","Gia nhập"
"가문","家門","Gia môn, Dòng họ"
"가변","可變","Có thể thay đổi"
"가부","可否","Có hay không, Tán thành hay phản đối"
"가산","加算","Cộng thêm"
"가설","假說","Giả thuyết"
"가속","加速","Tăng tốc"
"가압","加壓","Tăng áp"
"가업","家業","Gia nghiệp"
"가요","歌謠","Ca dao, Bài hát"
"가용","可用","Có thể dùng"
"가입","加入","Gia nhập"
"가장","家長","Gia trưởng"
"가전","家電","Đồ điện gia dụng"
"가중","加重","Tăng nặng"
"가창","歌唱","Ca hát"
"가해","加害","Gây hại"
"가혹","苛酷","Khắc nghiệt"
"각국","各國","Các nước"
"각론","各論","Từng luận điểm"
"각별","各別","Đặc biệt"
"각색","各色","Các loại"
"각자","各自","Mỗi người"
"각종","各種","Các loại"
"각지","各地","Các nơi"
"간결","簡潔","Ngắn gọn"
"간과","看過","Bỏ qua"
"간략","簡略","Sơ lược"
"간섭","干涉","Can thiệp"
"간소","簡素","Đơn giản"
"간식","間食","Ăn vặt"
"간이","簡易","Đơn giản"
"간주","看做","Coi như"
"간청","懇請","Khẩn cầu"
"간편","簡便","Tiện lợi"
"갈등","葛藤","Mâu thuẫn, Xung đột"
"감사","感謝","Cảm ơn"
"감소","減少","Giảm"
"감시","監視","Giám sát"
"감염","感染","Lây nhiễm"
"감옥","監獄","Nhà tù"
"감지","感知","Cảm nhận"
"감축","減縮","Cắt giảm"
"강경","強硬","Cứng rắn"
"강권","強權","Quyền lực mạnh"
"강령","綱領","Cương lĩnh"
"강습","講習","Tập huấn"
"강압","強壓","Áp bức"
"강의","講義","Bài giảng"
"강인","強忍","Kiên cường"
"강점","強點","Điểm mạnh"
"강조","強調","Nhấn mạnh"
"강화","強化","Tăng cường"
"개방","開放","Mở cửa"
"개발","開發","Phát triển"
"개정","改正","Sửa đổi"
"개조","改造","Cải tạo"
"개혁","改革","Cải cách"
"거대","巨大","Khổng lồ"
"거래","去來","Giao dịch"
"거부","拒否","Từ chối"
"거점","據點","Căn cứ địa"
"거절","拒絶","Từ chối"
"거짓","虛僞","Giả dối"
"건강","健康","Sức khỏe"
"건국","建國","Lập quốc"
"건설","建設","Xây dựng"
"건의","建議","Kiến nghị"
"건전","健全","Lành mạnh"
"결핍","缺乏","Thiếu hụt"
"결함","缺陷","Khiếm khuyết"
"경계","境界","Ranh giới"
