id,pattern,romanization,meaning,topik_level,category,explanation,examples,tags
0016,"V-는 중이다",,"đang (làm gì đó)...","TOPIK II","progressive","Diễn tả hành động đang diễn ra tại thời điểm nói. Tương đương với ""đang..."" trong tiếng Việt.","[{""korean"":""지금 밥을 먹는 중이에요."",""vietnamese"":""Bây giờ tôi đang ăn cơm.""},{""korean"":""회의하는 중이니까 조용히 해 주세요."",""vietnamese"":""Vì đang họp nên hãy giữ yên lặng.""}]","{""topik"",""progressive"",""intermediate""}"
0017,"V-는 중에",,"trong khi đang...","TOPIK II","progressive","Diễn tả trong khi đang làm một việc gì đó thì một việc khác xảy ra.","[{""korean"":""밥을 먹는 중에 전화가 왔어요."",""vietnamese"":""Trong khi đang ăn cơm thì có điện thoại.""},{""korean"":""공부하는 중에 친구가 찾아왔어요."",""vietnamese"":""Trong khi đang học thì bạn đến tìm.""}]","{""topik"",""progressive"",""intermediate""}"
0018,"V-는 척하다",,"giả vờ...","TOPIK II","pretense","Diễn tả hành động giả vờ làm một việc gì đó không đúng với thực tế.","[{""korean"":""모르는 척했어요."",""vietnamese"":""Tôi đã giả vờ không biết.""},{""korean"":""자는 척하지 마세요."",""vietnamese"":""Đừng giả vờ ngủ.""}]","{""topik"",""pretense"",""intermediate""}"
0019,"V-는 체하다",,"giả vờ...","TOPIK II","pretense","Tương tự V-는 척하다, diễn tả hành động giả vờ. Có thể dùng thay thế cho nhau.","[{""korean"":""못 들은 체했어요."",""vietnamese"":""Tôi đã giả vờ không nghe thấy.""},{""korean"":""아픈 체하지 마세요."",""vietnamese"":""Đừng giả vờ đau.""}]","{""topik"",""pretense"",""intermediate""}"
0020,"V-는 탓에",,"tại vì... nên...","TOPIK II","cause","Diễn tả nguyên nhân tiêu cực, đổ lỗi cho một điều gì đó dẫn đến kết quả xấu.","[{""korean"":""늦게 일어난 탓에 지각했어요."",""vietnamese"":""Tại vì dậy muộn nên bị trễ giờ.""},{""korean"":""비가 많이 온 탓에 홍수가 났어요."",""vietnamese"":""Tại vì mưa nhiều nên bị lũ lụt.""}]","{""topik"",""cause"",""intermediate""}"
0021,"V-는 탓이다",,"là tại vì...","TOPIK II","cause","Diễn tả nguyên nhân, đổ lỗi. Dùng để kết luận nguyên nhân của một kết quả tiêu cực.","[{""korean"":""다 제 탓이에요."",""vietnamese"":""Tất cả là tại tôi.""},{""korean"":""날씨 탓인지 기분이 안 좋아요."",""vietnamese"":""Có lẽ tại thời tiết nên tâm trạng không tốt.""}]","{""topik"",""cause"",""intermediate""}"
0022,"V-는 편이다",,"thuộc loại.../khá là...","TOPIK II","tendency","Diễn tả một đặc điểm, tính chất thuộc về một nhóm/phạm trù nào đó. So sánh tương đối.","[{""korean"":""저는 키가 큰 편이에요."",""vietnamese"":""Tôi thuộc loại cao.""},{""korean"":""이 음식은 매운 편이에요."",""vietnamese"":""Món này thuộc loại cay.""}]","{""topik"",""tendency"",""intermediate""}"
0023,"V-는 한",,"trong phạm vi.../chừng nào...","TOPIK II","condition","Diễn tả giới hạn, phạm vi của một điều kiện. Chừng nào... thì...","[{""korean"":""내가 사는 한 너를 도와줄게."",""vietnamese"":""Chừng nào tôi còn sống thì sẽ giúp bạn.""},{""korean"":""비가 오지 않는 한 소풍을 갈 거예요."",""vietnamese"":""Chừng nào trời không mưa thì sẽ đi picnic.""}]","{""topik"",""condition"",""intermediate""}"
0024,"V-는 한편",,"một mặt... mặt khác...","TOPIK II","contrast","Diễn tả hai khía cạnh khác nhau của cùng một vấn đề. Tương tự V-는 반면에.","[{""korean"":""그는 열심히 일하는 한편 가족도 잘 챙겨요."",""vietnamese"":""Anh ấy một mặt làm việc chăm chỉ, mặt khác cũng chăm lo gia đình tốt.""},{""korean"":""이 영화는 재미있는 한편 교훈도 있어요."",""vietnamese"":""Phim này một mặt thú vị, mặt khác cũng có bài học.""}]","{""topik"",""contrast"",""intermediate""}"
0025,"V-는 한이 있더라도",,"cho dù có... thì cũng...","TOPIK II","determination","Diễn tả quyết tâm làm một việc cho dù có phải hy sinh, khó khăn đến đâu.","[{""korean"":""죽는 한이 있더라도 지키겠습니다."",""vietnamese"":""Cho dù có chết cũng sẽ bảo vệ.""},{""korean"":""망하는 한이 있더라도 해 볼 거예요."",""vietnamese"":""Cho dù có phá sản cũng sẽ thử.""}]","{""topik"",""determination"",""intermediate""}"
