"korean","vietnamese","reading","topic_id","level","example","example_vi"
"여행","Du lịch","yeohaeng","transport","basic","올해 한국으로 여행을 갑니다.","Năm nay tôi đi du lịch Hàn Quốc."
"여행하다","Đi du lịch","yeohaenghada","action","basic","주말에 친구와 여행해요.","Cuối tuần tôi đi du lịch với bạn."
"공항","Sân bay","gonghang","transport","basic","인천 공항에 도착했어요.","Tôi đã đến sân bay Incheon."
"비행기","Máy bay","bihaenggi","transport","basic","비행기를 타고 가요.","Tôi đi bằng máy bay."
"여권","Hộ chiếu","yeogwon","transport","basic","여권을 보여 주세요.","Hãy cho tôi xem hộ chiếu."
"티켓","Vé","tiket","transport","basic","기차 티켓을 샀어요.","Tôi đã mua vé tàu hỏa."
"호텔","Khách sạn","hotel","housing","basic","호텔에서 이틀 잤어요.","Tôi đã ngủ ở khách sạn hai ngày."
"예약","Đặt chỗ / đặt phòng","yeyak","action","basic","방을 예약했어요.","Tôi đã đặt phòng."
"짐","Hành lý","jim","transport","basic","짐이 너무 무거워요.","Hành lý nặng quá."
"가방","Túi xách / cặp","gabang","shopping","basic","이 가방은 비싸요.","Cái túi này đắt."
"지도","Bản đồ","jido","direction","basic","지도를 보고 길을 찾아요.","Tôi xem bản đồ để tìm đường."
"관광지","Địa điểm du lịch","gwangwangji","location","basic","유명한 관광지에 가요.","Tôi đi đến địa điểm du lịch nổi tiếng."
"여행객","Khách du lịch","yeohaenggaek","location","basic","여기는 여행객이 많아요.","Ở đây có nhiều khách du lịch."
"사진","Bức ảnh","sajin","action","basic","사진을 찍어요.","Tôi chụp ảnh."
"길","Đường / lối đi","gil","direction","basic","이 길로 가세요.","Hãy đi theo con đường này."
"신호등","Đèn tín hiệu giao thông","sinhodeung","transport","basic","신호등이 빨간색이에요.","Đèn tín hiệu màu đỏ."
"횡단보도","Vạch sang đường","hoengdanbodo","transport","basic","횡단보도로 건너세요.","Hãy băng qua bằng vạch sang đường."
"지하철","Tàu điện ngầm","jihacheol","transport","basic","지하철을 타고 학교에 가요.","Tôi đi học bằng tàu điện ngầm."
"지하철역","Ga tàu điện ngầm","jihacheollyeok","transport","basic","지하철역에서 만나요.","Gặp nhau ở ga tàu điện ngầm nhé."
"기차","Tàu hỏa","gicha","transport","basic","기차로 부산에 가요.","Tôi đi Busan bằng tàu hỏa."
"버스","Xe buýt","beoseu","transport","basic","버스를 기다려요.","Tôi đang đợi xe buýt."
"버스 정류장","Trạm xe buýt","beoseu jeongnyujang","transport","basic","버스 정류장이 어디예요?","Trạm xe buýt ở đâu?"
"택시","Taxi","taeksi","transport","basic","택시로 집에 가요.","Tôi về nhà bằng taxi."
"자동차","Ô tô","jadongcha","transport","basic","자동차가 빨라요.","Ô tô nhanh."
"자전거","Xe đạp","jajeon-geo","transport","basic","자전거를 타요.","Tôi đi xe đạp."
"오토바이","Xe máy","otobai","transport","basic","오토바이가 위험해요.","Xe máy nguy hiểm."
"배","Thuyền / tàu thủy","bae","transport","basic","배를 타고 섬에 가요.","Tôi đi đến đảo bằng thuyền."
"항구","Cảng","hanggu","transport","basic","항구에서 배를 봐요.","Tôi xem thuyền ở cảng."
"도로","Đường lớn","doro","direction","basic","도로가 복잡해요.","Đường lớn đông đúc."
"주차장","Bãi đỗ xe","juchajang","location","basic","주차장에 차를 세웠어요.","Tôi đã đỗ xe ở bãi đỗ."
"출발하다","Khởi hành","chulbalhada","action","basic","기차가 곧 출발해요.","Tàu hỏa sắp khởi hành."
"도착하다","Đến nơi","dochakhada","action","basic","공항에 도착했어요.","Tôi đã đến sân bay."
"타다","Lên xe / cưỡi","tada","action","basic","버스를 타요.","Tôi lên xe buýt."
"내리다","Xuống (xe)","naerida","action","basic","다음 역에서 내려요.","Tôi xuống ở ga tiếp theo."
